ID,model,repeat,premise,hypothesis,error,baseline_KB,additive_verbs_KB,all_verbs_KB,context_pos_KB,additive_pos_KB,fixed_reference_column,fixed_reference_KB
2218743570.jpg#4r1n,anthropic/claude-haiku-4.5,1,A husky and a black cat nuzzling.,A dog and cat are friendly.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,"(husky, dog)"
2232255534.jpg#0r1e,anthropic/claude-haiku-4.5,1,A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device,,"isa_wn(young man, man); isa_wn(jogging slack, jogging pant); isa_wn(mobile devise, device)","isa_wn(young man, man); isa_wn(jogging slack, jogging pant); isa_wn(mobile devise, device); isa_wn(jog slack, jog pant)","isa_wn(young man, man); isa_wn(jog slack, jog pant); isa_wn(mobile devise, device)","isa_wn(young man, man); isa_wn(jogging slack, jogging pant); isa_wn(mobile devise, device)","isa_wn(young man, man); isa_wn(jogging slack, jogging pant); isa_wn(mobile devise, device)",Jorryt_KB,"(jogging slack, jogging pant)"
2237364221.jpg#3r1e,anthropic/claude-haiku-4.5,1,A man tries to get himself into shape on a treadmill.,A man exercising.,,"isa_wn(get into shape, exercise)","isa_wn(get into shape, exercise)","isa_wn(get into shape, exercise)","isa_wn(get into shape, exercise)","isa_wn(get into shape, exercise)",Stefan_KB,NO_RELATION
2255375425.jpg#2r1e,anthropic/claude-haiku-4.5,1,A man is sitting in on the side of the street with brass pots.,A man is sitting.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
2275372714.jpg#3r1e,anthropic/claude-haiku-4.5,1,The kids watched as the soda bottle launched into the air.,There is a soda bottle flying.,,"isa_wn(launch, fly)","isa_wn(launch, fly)","isa_wn(launch, fly)","isa_wn(launch, fly)","isa_wn(launch, fly)",Ettore_KB,"(launch, fly)"
2276230068.jpg#4r1e,anthropic/claude-haiku-4.5,1,A baby with star shades on.,A baby wearing glasses.,,"isa_wn(star shade, glass)","isa_wn(star shade, glass)","isa_wn(star shade, glass)","isa_wn(star shade, glass)","isa_wn(star shade, glass)",Jorryt_KB,NO_RELATION
2279906281.jpg#1r1e,anthropic/claude-haiku-4.5,1,A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.,,"isa_wn(shirtless, topless); isa_wn(filmed, recorded); isa_wn(soccer field, sports field); isa_wn(man, male)","isa_wn(shirtless, topless); isa_wn(filmed, recorded); isa_wn(soccer field, sports field); isa_wn(man, male); isa_wn(film, record); isa_wn(soccer field, sport field)","isa_wn(shirtless, topless); isa_wn(film, record); isa_wn(soccer field, sport field); isa_wn(man, male)","isa_wn(shirtless, topless); isa_wn(film, record); isa_wn(soccer field, sport field); isa_wn(man, male)","isa_wn(shirtless, topless); isa_wn(filmed, recorded); isa_wn(soccer field, sports field); isa_wn(man, male); isa_wn(film, record); isa_wn(soccer field, sport field)",Stefan_KB,"(film, record); (man, male); (shirtless, topless); (soccer field, sports field)"
2281,anthropic/claude-haiku-4.5,1,A dog is opening a can of food,A dog is biting a can,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
228280436.jpg#1r1e,anthropic/claude-haiku-4.5,1,A group of people are buying fruits and vegetables from a stand located in a street market.,The stand selling produce is in a street market.,,"isa_wn(fruit and vegetable, produce)","isa_wn(fruit and vegetable, produce)","isa_wn(fruit and vegetable, produce)","isa_wn(fruit and vegetable, produce)","isa_wn(fruit and vegetable, produce)",Ettore_KB,NO_RELATION
23012662.jpg#4r1e,anthropic/claude-haiku-4.5,1,Blond tennis player pauses to view the crowd.,A tennis player is looking at the crowd.,,"isa_wn(view, look at)","isa_wn(view, look at)","isa_wn(view, look at)","isa_wn(view, look at)","isa_wn(view, look at)",Lasha_KB,"(view, look at)"
2343145630.jpg#0r4e,anthropic/claude-haiku-4.5,1,"A black singer with short, spiked hair plays guitar and sings, while a bassist plays behind him.",A person with pointy hair is singing while another person playing an instrument is in back of him.,,"isa_wn(spiked hair, pointy hair); isa_wn(singer, person); isa_wn(bassist, person playing instrument)","isa_wn(spiked hair, pointy hair); isa_wn(singer, person); isa_wn(bassist, person playing instrument); isa_wn(spike hair, pointy hair); isa_wn(bassist, person play instrument)","isa_wn(spike hair, pointy hair); isa_wn(singer, person); isa_wn(bassist, person play instrument)","isa_wn(spiked hair, pointy hair); isa_wn(singer, person); isa_wn(bassist, person playing instrument)","isa_wn(spiked hair, pointy hair); isa_wn(singer, person); isa_wn(bassist, person playing instrument)",Stefan_KB,"(singer, person); (spiked, pointy); (bassist, person)"
2367387854.jpg#1r1e,anthropic/claude-haiku-4.5,1,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.,,"isa_wn(talk, speak); isa_wn(microphone, device)","isa_wn(talk, speak); isa_wn(microphone, device)","isa_wn(talk, speak); isa_wn(microphone, device)","isa_wn(talk, speak); isa_wn(microphone, device)","isa_wn(talk, speak); isa_wn(microphone, device)",Stefan_KB,"(microphone, device); (talk, speak)"
237424188.jpg#0r1e,anthropic/claude-haiku-4.5,1,"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her.",two girls in a room,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
2384728877.jpg#0r1e,anthropic/claude-haiku-4.5,1,The woman is holding the hand of the little girl in the red dress with the polka-dotted skirt.,A little girl wearing a red dress holds a woman's hand.,,"isa_wn(hold hand, hold hand)","isa_wn(hold hand, hold hand)","isa_wn(hold hand, hold hand)","isa_wn(hold hand, hold hand)","isa_wn(hold hand, hold hand)",Stefan_KB,NO_RELATION
2393059551.jpg#1r1e,anthropic/claude-haiku-4.5,1,Two people work construction on the inside of a house.,Two people work inside.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
2405,anthropic/claude-haiku-4.5,1,The lady is slicing a tomato,Someone is cutting a tomato,,"isa_wn(lady, someone); isa_wn(slice, cut)","isa_wn(lady, someone); isa_wn(slice, cut)","isa_wn(lady, someone); isa_wn(slice, cut)","isa_wn(lady, someone); isa_wn(slice, cut)","isa_wn(lady, someone); isa_wn(slice, cut)",Stefan_KB,"(lady, someone); (slice, cut)"
241345721.jpg#4r1e,anthropic/claude-haiku-4.5,1,Men playing football.,Some men are playing a game.,,"isa_wn(football, game)","isa_wn(football, game)","isa_wn(football, game)","isa_wn(football, game)","isa_wn(football, game)",Lasha_KB,"(football, game)"
241346508.jpg#0r1e,anthropic/claude-haiku-4.5,1,"Three Oklahoma Sooners playing football against another team, one of the sooners with the ball in their possession.",College football players are playing a football game.,,"isa_wn(Oklahoma Sooner, college football player); isa_wn(play football against, play football game)","isa_wn(Oklahoma Sooner, college football player); isa_wn(play football against, play football game)","isa_wn(oklahoma sooner, college football player); isa_wn(play football against, play football game)","isa_wn(Oklahoma Sooner, college football player); isa_wn(play football against, play football game)","isa_wn(Oklahoma Sooner, college football player); isa_wn(play football against, play football game)",Stefan_KB,"(oklahoma sooner, college football player)"
2421824693.jpg#3r1e,anthropic/claude-haiku-4.5,1,A man is standing on a rooftop looking at his camera.,A man is on the roof with a camera.,,"isa_wn(rooftop, roof); isa_wn(looking at, with)","isa_wn(rooftop, roof); isa_wn(looking at, with); isa_wn(look at, with)","isa_wn(rooftop, roof); isa_wn(look at, with)","isa_wn(rooftop, roof); isa_wn(look at, with)","isa_wn(rooftop, roof); isa_wn(looking at, with); isa_wn(look at, with)",Stefan_KB,"(rooftop, roof)"
2518094853.jpg#3r1e,anthropic/claude-haiku-4.5,1,A brown dog runs through a field.,A brown dog running outside.,,"isa_wn(field, outside)","isa_wn(field, outside)","isa_wn(field, outside)","isa_wn(field, outside)","isa_wn(field, outside)",Stefan_KB,"(field, outside)"
2521878609.jpg#4r1e,anthropic/claude-haiku-4.5,1,kid eating pasta,The kid is human.,,"isa_wn(kid, human)","isa_wn(kid, human)","isa_wn(kid, human)","isa_wn(kid, human)","isa_wn(kid, human)",Lasha_KB,NO_RELATION
2529017800.jpg#1r1e,anthropic/claude-haiku-4.5,1,"3 people, one man playing a guitar while sitting on the floor and two people playing a game on a sofa.",Several people are gathered inside.,,"isa_wn(3 people, several people); isa_wn(sitting on floor, inside); isa_wn(sofa, inside)","isa_wn(3 people, several people); isa_wn(sitting on floor, inside); isa_wn(sofa, inside); isa_wn(sit on floor, inside)","isa_wn(3 people, several people); isa_wn(sit on floor, inside); isa_wn(sofa, inside)","isa_wn(3 people, several people); isa_wn(sitting on floor, inside); isa_wn(sofa, inside)","isa_wn(3 people, several people); isa_wn(sitting on floor, inside); isa_wn(sofa, inside)",Ettore_KB,NO_RELATION
2533414541.jpg#3r1e,anthropic/claude-haiku-4.5,1,A white and blue car is on the street.,A vehicle is on the street.,,"isa_wn(car, vehicle)","isa_wn(car, vehicle)","isa_wn(car, vehicle)","isa_wn(car, vehicle)","isa_wn(car, vehicle)",Lasha_KB,"(car, vehicle)"
2543017787.jpg#4r1e,anthropic/claude-haiku-4.5,1,A child rides a swing.,A kid is playing,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,"(child, kid)"
255091927.jpg#4r1e,anthropic/claude-haiku-4.5,1,People laying in massage chairs,People relaxing in charis.,,"isa_wn(massage chair, chair); isa_wn(lay, relax)","isa_wn(massage chair, chair); isa_wn(lay, relax)","isa_wn(massage chair, chair); isa_wn(lay, relax)","isa_wn(massage chair, chair); isa_wn(lay, relax)","isa_wn(massage chair, chair); isa_wn(lay, relax)",Jorryt_KB,NO_RELATION
2557,anthropic/claude-haiku-4.5,1,Someone is strumming the guitar,Someone is playing the guitar,,"isa_wn(strum, play)","isa_wn(strum, play)","isa_wn(strum, play)","isa_wn(strum, play)","isa_wn(strum, play)",Lasha_KB,"(strum, play)"
2565685680.jpg#0r1e,anthropic/claude-haiku-4.5,1,An animal with black fur splashing about in relatively deep water.,The dark animal is playing in the water.,,"isa_wn(black fur, dark); isa_wn(splash about, play)","isa_wn(black fur, dark); isa_wn(splash about, play)","isa_wn(black fur, dark); isa_wn(splash about, play)","isa_wn(black fur, dark); isa_wn(splash about, play)","isa_wn(black fur, dark); isa_wn(splash about, play)",Stefan_KB,"(black, dark); (splash about, play)"
2573969957.jpg#1r1e,anthropic/claude-haiku-4.5,1,Two men in uniform hold up sign with young children.,Two men are holding up something with young kids.,,"isa_wn(sign, something); isa_wn(child, kid)","isa_wn(sign, something); isa_wn(child, kid)","isa_wn(sign, something); isa_wn(child, kid)","isa_wn(sign, something); isa_wn(child, kid)","isa_wn(sign, something); isa_wn(child, kid)",Lasha_KB,"(child, kid); (sign, something)"
2602415701.jpg#0r1e,anthropic/claude-haiku-4.5,1,Five young boys in swim trunks jump into a swimming pool at the same time.,Kids leaping into a swimming pool,,"isa_wn(young boy, kid); isa_wn(jump, leap)","isa_wn(young boy, kid); isa_wn(jump, leap)","isa_wn(young boy, kid); isa_wn(jump, leap)","isa_wn(young boy, kid); isa_wn(jump, leap)","isa_wn(young boy, kid); isa_wn(jump, leap)",Lasha_KB,"(jump, leap); (young boy, kid)"
261626276.jpg#0r1e,anthropic/claude-haiku-4.5,1,A young man with blond dreadlocks sits on a wall reading a newspaper as a woman and a young girl pass by.,A young male is looking at a newspaper while 2 females walks past him.,,"isa_wn(man, male); isa_wn(read, look at); isa_wn(woman, female); isa_wn(girl, female)","isa_wn(man, male); isa_wn(read, look at); isa_wn(woman, female); isa_wn(girl, female)","isa_wn(man, male); isa_wn(read, look at); isa_wn(woman, female); isa_wn(girl, female)","isa_wn(man, male); isa_wn(read, look at); isa_wn(woman, female); isa_wn(girl, female)","isa_wn(man, male); isa_wn(read, look at); isa_wn(woman, female); isa_wn(girl, female)",Stefan_KB,"(girl, female); (man, male); (read, look at); (walk past, pass by); (woman, female)"
2618866067.jpg#4r1e,anthropic/claude-haiku-4.5,1,A gray dog is yawning.,A dog is tired.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
2647049174.jpg#4r1e,anthropic/claude-haiku-4.5,1,A toddler eats dirt.,A baby is eating dirt.,,"isa_wn(toddler, baby)","isa_wn(toddler, baby)","isa_wn(toddler, baby)","isa_wn(toddler, baby)","isa_wn(toddler, baby)",Lasha_KB,"(toddler, baby)"
2665904080.jpg#1r1e,anthropic/claude-haiku-4.5,1,A young puppy suckles from his mother.,A young puppy lays at it's mothers stomach.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
2671880562.jpg#3r1e,anthropic/claude-haiku-4.5,1,A man in a staff shirt break-dancing.,A man is moving around.,,"isa_wn(break-dance, move around)","isa_wn(break-dance, move around)","isa_wn(break-dance, move around)","isa_wn(break-dance, move around)","isa_wn(break-dance, move around)",Lasha_KB,"(break-dance, move around)"
2680990587.jpg#3r1e,anthropic/claude-haiku-4.5,1,One boy is pushing another boy on a swing.,One human pushing another.,,"isa_wn(boy, human)","isa_wn(boy, human)","isa_wn(boy, human)","isa_wn(boy, human)","isa_wn(boy, human)",Stefan_KB,"(boy, human)"
2709648336.jpg#0r1e,anthropic/claude-haiku-4.5,1,A large brown and black dog jumps in the air holding a white Frisbee in its mouth.,An animal moving vertically and gripping a toy with its teeth.,,"isa_wn(dog, animal); isa_wn(jump, move vertically); isa_wn(Frisbee, toy); isa_wn(mouth, teeth)","isa_wn(dog, animal); isa_wn(jump, move vertically); isa_wn(Frisbee, toy); isa_wn(mouth, teeth)","isa_wn(dog, animal); isa_wn(jump, move vertically); isa_wn(frisbee, toy); isa_wn(mouth, teeth)","isa_wn(dog, animal); isa_wn(jump, move vertically); isa_wn(frisbee, toy); isa_wn(mouth, teeth)","isa_wn(dog, animal); isa_wn(jump, move vertically); isa_wn(Frisbee, toy); isa_wn(mouth, teeth)",Stefan_KB,"(dog, animal); (frisbee, toy); (hold, grip); (jump, move vertically)"
2714703706.jpg#0r1e,anthropic/claude-haiku-4.5,1,The brown dog has a hold of the other dogs cheek with its teeth.,The dog grabbed the other dog with his teeth.,,"isa_wn(have a hold of, grab)","isa_wn(have a hold of, grab)","isa_wn(have a hold of, grab)","isa_wn(have a hold of, grab)","isa_wn(have a hold of, grab)",Lasha_KB,NO_RELATION
2723024306.jpg#3r1e,anthropic/claude-haiku-4.5,1,Man builds detailed sand castle on the beach.,An adult is working with sand.,,"isa_wn(man, adult); isa_wn(build, work with)","isa_wn(man, adult); isa_wn(build, work with)","isa_wn(man, adult); isa_wn(build, work with)","isa_wn(man, adult); isa_wn(build, work with)","isa_wn(man, adult); isa_wn(build, work with)",Stefan_KB,"(man, adult)"
2726887594.jpg#4r1e,anthropic/claude-haiku-4.5,1,A man in a blue polo raises his wineglass to toast.,A man holds a wineglass.,,"isa_wn(raise, hold)","isa_wn(raise, hold)","isa_wn(raise, hold)","isa_wn(raise, hold)","isa_wn(raise, hold)",Lasha_KB,"(raise, hold)"
273699639.jpg#4r1e,anthropic/claude-haiku-4.5,1,A woman sitting with two men hugging.,A group of people are sitting together.,,"isa_wn(woman, person); isa_wn(man, person)","isa_wn(woman, person); isa_wn(man, person)","isa_wn(woman, person); isa_wn(man, person)","isa_wn(woman, person); isa_wn(man, person)","isa_wn(woman, person); isa_wn(man, person)",Lasha_KB,NO_RELATION
2741990005.jpg#4r1e,anthropic/claude-haiku-4.5,1,A man vaults over a high bar.,A man jumps.,,"isa_wn(vault, jump)","isa_wn(vault, jump)","isa_wn(vault, jump)","isa_wn(vault, jump)","isa_wn(vault, jump)",Stefan_KB,"(vault, jump)"
2744856447.jpg#3r1e,anthropic/claude-haiku-4.5,1,An Asian young man is drinking out of a metal cup.,The young man is drinking a liquid.,,"isa_wn(metal cup, container of liquid)","isa_wn(metal cup, container of liquid)","isa_wn(metal cup, container of liquid)","isa_wn(metal cup, container of liquid)","isa_wn(metal cup, container of liquid)",Stefan_KB,NO_RELATION
2760560588.jpg#3r1e,anthropic/claude-haiku-4.5,1,A person in a blue plaid shirt is writing on a chalkboard.,The person is writing on the chalk board.,,"isa_wn(chalkboard, chalk board)","isa_wn(chalkboard, chalk board)","isa_wn(chalkboard, chalk board)","isa_wn(chalkboard, chalk board)","isa_wn(chalkboard, chalk board)",Stefan_KB,"(chalkboard, chalk board)"
2795,anthropic/claude-haiku-4.5,1,A small guinea pig is gnawing and eating a piece of carrot on the floor,A guinea pig is devouring a carrot,,"isa_wn(gnaw, devour); isa_wn(piece of carrot, carrot)","isa_wn(gnaw, devour); isa_wn(piece of carrot, carrot)","isa_wn(gnaw, devour); isa_wn(piece of carrot, carrot)","isa_wn(gnaw, devour); isa_wn(piece of carrot, carrot)","isa_wn(gnaw, devour); isa_wn(piece of carrot, carrot)",Ettore_KB,"(eat, devour); (gnaw, devour)"
2802158972.jpg#1r1e,anthropic/claude-haiku-4.5,1,"Eight men play instruments on stage, with a guitarist highlighted in lights.",people play music,,"isa_wn(man, people); isa_wn(play instrument, play music)","isa_wn(man, people); isa_wn(play instrument, play music)","isa_wn(man, people); isa_wn(play instrument, play music)","isa_wn(man, people); isa_wn(play instrument, play music)","isa_wn(man, people); isa_wn(play instrument, play music)",Lasha_KB,NO_RELATION
2809,anthropic/claude-haiku-4.5,1,A cartoon airplane is landing,An animated airplane is landing,,"isa_wn(cartoon, animated)","isa_wn(cartoon, animated); isa_wn(cartoon, animate)","isa_wn(cartoon, animate)","isa_wn(cartoon, animated)","isa_wn(cartoon, animated)",Stefan_KB,"(cartoon, animated)"
